식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처코드,출처명,식품중량,업체명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자,대두_땅콩_여부,알레르기_권고,유제품여부,탄닌가능성,쿠마린여부,쿠마린_권고,카페인여부,알코올_유무
D102-116190000-0001,파이/만주_사과파이,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2116,파이/만주,211619,사과파이,21161900,해당없음,0,해당없음,100g,185,57.9,2.54,3.91,0.84,34.83,7.11,2.3,20.0,0.43,169.0,94.0,204.0,16.0,15.0,16.0,0.0,0.02,1.98,0.1,0.0,14.39,1.95,0.17,3,식품의약품안전처,100g,해당없음,1,분석,2019-12-31,2025-04-08,False,,True,False,False,,False,False
D102-118000000-0001,페이스트리,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2118,페이스트리,211800,해당없음,21180000,해당없음,0,해당없음,100g,466,19.3,8.31,29.66,1.27,41.5,6.43,2.1,20.0,0.46,88.0,102.0,373.0,154.0,147.0,77.0,0.243,0.114,0.0,0.0,0.0,36.34,15.31,0.2,3,식품의약품안전처,70g,해당없음,1,분석,2018-12-31,2025-04-08,False,,True,False,False,,False,False
D105-200000000-0001,감자국,D,음식,1,가정식(분석 함량),5,국 및 탕류,5200,감자국,520000,해당없음,52000000,해당없음,0,해당없음,100g,21,94.4,0.9,0.26,0.8,3.67,0.85,0.7,5.0,0.12,22.0,122.0,215.0,0.0,0.0,0.0,0.708,0.023,0.485,0.63,0.0,0.0,0.03,0.0,3,식품의약품안전처,400g,해당없음,1,분석,2019-12-31,2025-04-08,False,,False,True,False,,False,False
D105-211260000-0001,달걀탕_순두부,D,음식,1,가정식(분석 함량),5,국 및 탕류,5211,달걀탕,521126,순두부,52112600,해당없음,0,해당없음,100g,29,94.7,1.78,2.04,0.56,0.94,0.0,0.8,13.0,0.37,35.0,108.0,101.0,13.0,8.0,64.0,0.249,0.08,0.246,0.47,0.0,34.05,0.37,0.0,3,식품의약품안전처,350g,해당없음,1,분석,2017-12-31,2025-04-08,True,대두/땅콩 성분 가능 → 섭취 주의 권고,False,False,False,,False,False
D105-216010000-0001,된장국_감자,D,음식,1,가정식(분석 함량),5,국 및 탕류,5216,된장국,521601,감자,52160100,해당없음,0,해당없음,100g,25,93.4,1.09,0.6,1.24,3.7,0.77,0.6,18.0,0.52,47.0,132.0,357.0,0.0,0.0,0.0,0.208,0.01,2.263,0.0,0.0,0.0,0.05,0.0,3,식품의약품안전처,400g,해당없음,1,분석,2017-12-31,2025-04-08,True,대두/땅콩 성분 가능 → 섭취 주의 권고,False,True,False,,False,False
D105-216070000-0001,된장국_냉이,D,음식,1,가정식(분석 함량),5,국 및 탕류,5216,된장국,521607,냉이,52160700,해당없음,0,해당없음,100g,22,94.6,1.71,0.66,0.84,2.2,0.3,1.3,32.0,0.75,32.0,100.0,236.0,15.0,0.0,183.0,0.005,0.06,3.85,0.0,0.0,0.0,0.09,0.0,3,식품의약품안전처,400g,해당없음,1,분석,2017-12-31,2025-04-08,True,대두/땅콩 성분 가능 → 섭취 주의 권고,False,False,False,,False,False
D105-216160000-0001,된장국_미역,D,음식,1,가정식(분석 함량),5,국 및 탕류,5216,된장국,521616,미역,52161600,해당없음,0,해당없음,100g,24,94.1,1.56,0.97,1.12,2.28,0.61,2.7,20.0,0.89,26.0,137.0,305.0,2.0,0.0,29.0,0.038,0.053,0.0,0.36,0.0,0.0,0.07,0.0,3,식품의약품안전처,400g,해당없음,1,분석,2017-12-31,2025-04-08,True,대두/땅콩 성분 가능 → 섭취 주의 권고,False,False,False,,False,False
D105-216180000-0001,된장국_배추,D,음식,1,가정식(분석 함량),5,국 및 탕류,5216,된장국,521618,배추,52161800,해당없음,0,해당없음,100g,20,94.7,1.46,0.4,0.85,2.58,0.0,0.6,12.0,0.25,24.0,95.0,223.0,1.0,0.0,12.0,0.0,0.048,0.58,0.0,0.0,3.07,0.06,0.0,3,식품의약품안전처,400g,해당없음,1,분석,2019-12-31,2025-04-08,True,대두/땅콩 성분 가능 → 섭취 주의 권고,False,False,False,,False,False
D105-216270000-0001,된장국_시금치,D,음식,1,가정식(분석 함량),5,국 및 탕류,5216,된장국,521627,시금치,52162700,해당없음,0,해당없음,100g,9,96.8,1.02,0.17,1.05,0.98,0.11,0.4,15.0,0.29,21.0,181.0,124.0,18.0,0.0,214.0,0.175,0.138,0.595,0.18,0.0,0.64,0.03,0.0,3,식품의약품안전처,400g,해당없음,1,분석,2019-12-31,2025-04-08,True,대두/땅콩 성분 가능 → 섭취 주의 권고,False,False,False,,False,False
D105-216280000-0001,된장국_시래기,D,음식,1,가정식(분석 함량),5,국 및 탕류,5216,된장국,521628,시래기,52162800,해당없음,0,해당없음,100g,15,95.7,1.31,0.22,0.74,2.03,0.0,1.9,36.0,0.9,18.0,36.0,195.0,2.0,0.0,30.0,0.373,0.038,0.198,0.0,0.0,0.91,0.03,0.0,3,식품의약품안전처,400g,해당없음,1,분석,2019-12-31,2025-04-08,True,대두/땅콩 성분 가능 → 섭취 주의 권고,False,False,False,,False,False
